Pattern,Aggregation Level,Entity ID,Category,Current Percentage,Target Percentage,Expected Impact,Recommended Actions
Suppression-Focused,CID,CID001,VRP missing,18.0,13.615023474178402,0.040734000000000006,Reduce VRP missing from 18.0% to 8.7% | Ensure all ASINs have valid VRP (Vendor Retail Price) set | Contact sellers to update missing VRP information
Suppression-Focused,CID,CID001,Price Error,18.0,23.78716744913928,0.007260400000000001,Reduce Price Error from 18.0% to 15.2% | Review and fix pricing for ASINs with price errors | Ensure prices are competitive and within event guidelines
Balanced,CID,CID001,VRP missing,18.0,13.615023474178402,0.040734000000000006,Reduce VRP missing from 18.0% to 8.7% | Ensure all ASINs have valid VRP (Vendor Retail Price) set | Contact sellers to update missing VRP information
Balanced,CID,CID001,Price Error,18.0,23.78716744913928,0.007260400000000001,Reduce Price Error from 18.0% to 15.2% | Review and fix pricing for ASINs with price errors | Ensure prices are competitive and within event guidelines
Suppression-Focused,CID,CID003,VRP missing,18.0,13.615023474178402,0.040734000000000006,Reduce VRP missing from 18.0% to 8.7% | Ensure all ASINs have valid VRP (Vendor Retail Price) set | Contact sellers to update missing VRP information
Suppression-Focused,CID,CID003,Price Error,18.0,23.78716744913928,0.007260400000000001,Reduce Price Error from 18.0% to 15.2% | Review and fix pricing for ASINs with price errors | Ensure prices are competitive and within event guidelines
Balanced,CID,CID003,VRP missing,18.0,13.615023474178402,0.040734000000000006,Reduce VRP missing from 18.0% to 8.7% | Ensure all ASINs have valid VRP (Vendor Retail Price) set | Contact sellers to update missing VRP information
Balanced,CID,CID003,Price Error,18.0,23.78716744913928,0.007260400000000001,Reduce Price Error from 18.0% to 15.2% | Review and fix pricing for ASINs with price errors | Ensure prices are competitive and within event guidelines
Suppression-Focused,CID,CID009,VRP missing,18.0,13.615023474178402,0.040734000000000006,Reduce VRP missing from 18.0% to 8.7% | Ensure all ASINs have valid VRP (Vendor Retail Price) set | Contact sellers to update missing VRP information
Suppression-Focused,CID,CID009,Price Error,18.0,23.78716744913928,0.007260400000000001,Reduce Price Error from 18.0% to 15.2% | Review and fix pricing for ASINs with price errors | Ensure prices are competitive and within event guidelines
Balanced,CID,CID009,VRP missing,18.0,13.615023474178402,0.040734000000000006,Reduce VRP missing from 18.0% to 8.7% | Ensure all ASINs have valid VRP (Vendor Retail Price) set | Contact sellers to update missing VRP information
Balanced,CID,CID009,Price Error,18.0,23.78716744913928,0.007260400000000001,Reduce Price Error from 18.0% to 15.2% | Review and fix pricing for ASINs with price errors | Ensure prices are competitive and within event guidelines
